,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
p[7480],0.92,0.01,0.9,0.94,0.0,0.0,11445.96,6833.35,1.0
p[7481],0.89,0.01,0.88,0.91,0.0,0.0,9187.94,6191.69,1.0
p[7482],0.92,0.01,0.91,0.94,0.0,0.0,9370.78,6212.47,1.0
p[7483],0.89,0.01,0.88,0.91,0.0,0.0,9202.08,6218.25,1.0
p[7484],0.76,0.02,0.73,0.79,0.0,0.0,9280.66,7297.5,1.0
p[7485],0.9,0.01,0.88,0.93,0.0,0.0,10324.01,6558.25,1.0
p[7486],0.89,0.01,0.88,0.91,0.0,0.0,9215.9,6142.78,1.0
p[7487],0.89,0.01,0.88,0.91,0.0,0.0,9215.9,6142.78,1.0
p[7488],0.89,0.01,0.88,0.91,0.0,0.0,9218.51,6244.17,1.0
p[7489],0.87,0.01,0.86,0.89,0.0,0.0,8735.73,7148.53,1.0
p[7490],0.92,0.01,0.91,0.94,0.0,0.0,9376.9,6238.63,1.0
p[7491],0.87,0.01,0.86,0.89,0.0,0.0,8736.22,7148.53,1.0
p[7492],0.9,0.01,0.88,0.91,0.0,0.0,9232.95,6108.42,1.0
p[7493],0.9,0.01,0.88,0.91,0.0,0.0,9232.95,6108.42,1.0
p[7494],0.9,0.01,0.88,0.91,0.0,0.0,9240.57,6471.08,1.0
p[7495],0.9,0.01,0.88,0.91,0.0,0.0,9241.7,6382.67,1.0
p[7496],0.94,0.01,0.93,0.95,0.0,0.0,8690.73,6499.55,1.0
p[7497],0.9,0.01,0.88,0.91,0.0,0.0,9249.16,6214.23,1.0
p[7498],0.9,0.01,0.88,0.91,0.0,0.0,9255.54,6214.23,1.0
p[7499],0.87,0.01,0.86,0.89,0.0,0.0,8733.95,7013.64,1.0
p[7500],0.87,0.01,0.86,0.89,0.0,0.0,8732.57,6981.08,1.0
p[7501],0.9,0.01,0.88,0.91,0.0,0.0,9273.99,6184.9,1.0
p[7502],0.93,0.01,0.91,0.94,0.0,0.0,9385.72,6212.7,1.0
p[7503],0.94,0.01,0.93,0.95,0.0,0.0,8716.97,6491.49,1.0
p[7504],0.93,0.01,0.91,0.95,0.0,0.0,11406.87,6879.73,1.0
p[7505],0.93,0.01,0.91,0.94,0.0,0.0,9388.81,6212.35,1.0
p[7506],0.9,0.01,0.88,0.91,0.0,0.0,9284.16,6078.6,1.0
p[7507],0.93,0.01,0.91,0.94,0.0,0.0,9390.39,6212.35,1.0
p[7508],0.92,0.01,0.9,0.94,0.0,0.0,11645.65,6451.45,1.0
p[7509],0.9,0.01,0.89,0.91,0.0,0.0,9292.79,6136.95,1.0
p[7510],0.9,0.01,0.89,0.91,0.0,0.0,9298.86,6140.18,1.0
p[7511],0.94,0.01,0.93,0.95,0.0,0.0,8729.17,6604.5,1.0
p[7512],0.77,0.02,0.74,0.8,0.0,0.0,9329.82,7159.7,1.0
p[7513],0.93,0.01,0.91,0.94,0.0,0.0,9399.96,6264.44,1.0
p[7514],0.88,0.01,0.86,0.89,0.0,0.0,8741.32,7042.25,1.0
p[7515],0.9,0.01,0.89,0.91,0.0,0.0,9317.94,6232.9,1.0
p[7516],0.9,0.01,0.89,0.91,0.0,0.0,9321.65,6177.88,1.0
p[7517],0.94,0.01,0.93,0.95,0.0,0.0,8687.08,6561.38,1.0
p[7518],0.9,0.01,0.89,0.91,0.0,0.0,9322.89,6177.88,1.0
p[7519],0.9,0.01,0.89,0.91,0.0,0.0,9326.6,6177.88,1.0
p[7520],0.92,0.01,0.9,0.94,0.0,0.0,11631.92,6480.45,1.0
p[7521],0.9,0.01,0.89,0.91,0.0,0.0,9337.34,6492.25,1.0
p[7522],0.9,0.01,0.89,0.91,0.0,0.0,9338.33,6492.25,1.0
p[7523],0.94,0.01,0.93,0.96,0.0,0.0,8692.71,6955.36,1.0
p[7524],0.88,0.01,0.86,0.89,0.0,0.0,8746.54,7089.63,1.0
p[7525],0.92,0.01,0.9,0.94,0.0,0.0,11623.76,6480.75,1.0
p[7526],0.88,0.01,0.86,0.89,0.0,0.0,8748.46,7023.03,1.0
p[7527],0.92,0.01,0.9,0.94,0.0,0.0,11623.02,6508.49,1.0
p[7528],0.95,0.01,0.93,0.96,0.0,0.0,8695.73,7014.96,1.0
p[7529],0.9,0.01,0.89,0.91,0.0,0.0,9375.13,6432.93,1.0
p[7530],0.9,0.01,0.89,0.91,0.0,0.0,9377.8,6432.93,1.0
p[7531],0.9,0.01,0.89,0.91,0.0,0.0,9377.8,6432.93,1.0
p[7532],0.88,0.01,0.86,0.89,0.0,0.0,8755.61,7089.87,1.0
p[7533],0.9,0.01,0.89,0.91,0.0,0.0,9391.26,6378.94,1.0
p[7534],0.88,0.01,0.86,0.9,0.0,0.0,8753.89,7090.39,1.0
p[7535],0.95,0.01,0.94,0.96,0.0,0.0,8703.23,6860.25,1.0
p[7536],0.9,0.01,0.89,0.91,0.0,0.0,9405.18,6490.01,1.0
p[7537],0.93,0.01,0.91,0.94,0.0,0.0,11611.65,6510.27,1.0
p[7538],0.9,0.01,0.89,0.91,0.0,0.0,9414.18,6435.61,1.0
p[7539],0.9,0.01,0.89,0.91,0.0,0.0,9414.18,6435.61,1.0
p[7540],0.88,0.01,0.86,0.9,0.0,0.0,8759.27,7057.81,1.0
p[7541],0.9,0.01,0.89,0.92,0.0,0.0,9435.62,6435.61,1.0
p[7542],0.88,0.01,0.87,0.9,0.0,0.0,8762.58,6961.76,1.0
p[7543],0.93,0.01,0.91,0.95,0.0,0.0,11364.06,6899.56,1.0
p[7544],0.88,0.01,0.87,0.9,0.0,0.0,8765.43,6965.7,1.0
p[7545],0.88,0.01,0.87,0.9,0.0,0.0,8765.43,6965.7,1.0
p[7546],0.9,0.01,0.89,0.92,0.0,0.0,9465.67,6547.59,1.0
p[7547],0.9,0.01,0.89,0.92,0.0,0.0,9466.8,6546.77,1.0
p[7548],0.96,0.01,0.94,0.97,0.0,0.0,10332.21,6928.91,1.0
p[7549],0.91,0.01,0.89,0.92,0.0,0.0,9482.87,6435.67,1.0
p[7550],0.95,0.01,0.94,0.96,0.0,0.0,8726.69,7206.38,1.0
p[7551],0.88,0.01,0.87,0.9,0.0,0.0,8780.22,7130.16,1.0
p[7552],0.88,0.01,0.87,0.9,0.0,0.0,8780.98,7130.16,1.0
p[7553],0.91,0.01,0.89,0.92,0.0,0.0,9502.81,6519.7,1.0
p[7554],0.91,0.01,0.89,0.92,0.0,0.0,9504.24,6519.7,1.0
p[7555],0.91,0.01,0.89,0.92,0.0,0.0,9508.68,6518.84,1.0
p[7556],0.93,0.01,0.92,0.95,0.0,0.0,9450.2,6423.77,1.0
p[7557],0.91,0.01,0.89,0.92,0.0,0.0,9523.49,6463.51,1.0
p[7558],0.91,0.01,0.89,0.92,0.0,0.0,9523.49,6463.51,1.0
p[7559],0.89,0.01,0.87,0.9,0.0,0.0,8794.14,6999.53,1.0
p[7560],0.89,0.01,0.87,0.9,0.0,0.0,8795.65,7032.06,1.0
p[7561],0.95,0.01,0.94,0.96,0.0,0.0,8745.13,7291.61,1.0
p[7562],0.91,0.01,0.9,0.92,0.0,0.0,9547.68,6463.37,1.0
p[7563],0.91,0.01,0.9,0.92,0.0,0.0,9547.68,6463.37,1.0
p[7564],0.93,0.01,0.91,0.95,0.0,0.0,11568.69,6165.06,1.0
p[7565],0.78,0.01,0.76,0.81,0.0,0.0,9546.24,6821.43,1.0
p[7566],0.84,0.02,0.81,0.87,0.0,0.0,9306.93,6773.13,1.0
p[7567],0.74,0.02,0.71,0.77,0.0,0.0,9554.98,6959.1,1.0
p[7568],0.83,0.02,0.79,0.87,0.0,0.0,11605.03,6396.11,1.0
p[7569],0.74,0.02,0.72,0.77,0.0,0.0,9551.05,6990.75,1.0
p[7570],0.79,0.01,0.76,0.81,0.0,0.0,9547.7,6945.35,1.0
p[7571],0.79,0.01,0.76,0.81,0.0,0.0,9548.15,6945.35,1.0
p[7572],0.88,0.01,0.85,0.9,0.0,0.0,8972.17,7133.17,1.0
p[7573],0.88,0.01,0.85,0.9,0.0,0.0,8972.17,7133.17,1.0
p[7574],0.75,0.02,0.72,0.77,0.0,0.0,9541.13,7054.82,1.0
p[7575],0.79,0.01,0.76,0.81,0.0,0.0,9546.28,6938.47,1.0
p[7576],0.88,0.01,0.85,0.9,0.0,0.0,8970.77,7161.47,1.0
p[7577],0.75,0.02,0.72,0.78,0.0,0.0,9536.19,7088.67,1.0
p[7578],0.79,0.01,0.77,0.81,0.0,0.0,9544.77,6946.58,1.0
p[7579],0.79,0.01,0.77,0.81,0.0,0.0,9544.77,6946.58,1.0
p[7580],0.84,0.02,0.81,0.88,0.0,0.0,9303.74,6804.82,1.0
p[7581],0.88,0.01,0.85,0.9,0.0,0.0,8961.45,7128.85,1.0
p[7582],0.75,0.01,0.72,0.78,0.0,0.0,9519.51,7054.48,1.0
p[7583],0.79,0.01,0.77,0.82,0.0,0.0,9548.55,6584.01,1.0
p[7584],0.75,0.01,0.73,0.78,0.0,0.0,9488.58,7119.95,1.0
p[7585],0.76,0.01,0.73,0.78,0.0,0.0,9483.82,7118.14,1.0
p[7586],0.85,0.02,0.82,0.88,0.0,0.0,9294.31,6540.69,1.0
p[7587],0.76,0.01,0.74,0.79,0.0,0.0,9464.64,7051.75,1.0
p[7588],0.76,0.01,0.74,0.79,0.0,0.0,9447.15,7053.76,1.0
p[7589],0.77,0.01,0.74,0.79,0.0,0.0,9423.72,6960.63,1.0
p[7590],0.86,0.02,0.83,0.89,0.0,0.0,12233.4,6965.34,1.0
p[7591],0.78,0.01,0.75,0.8,0.0,0.0,9375.18,6708.95,1.0
p[7592],0.86,0.02,0.82,0.89,0.0,0.0,11657.28,6350.33,1.0
p[7593],0.82,0.01,0.8,0.83,0.0,0.0,9510.01,6983.11,1.0
p[7594],0.82,0.01,0.8,0.84,0.0,0.0,9503.87,7115.31,1.0
p[7595],0.78,0.01,0.76,0.8,0.0,0.0,9350.19,6788.13,1.0
p[7596],0.82,0.01,0.8,0.84,0.0,0.0,9505.57,7115.9,1.0
p[7597],0.82,0.01,0.8,0.84,0.0,0.0,9505.83,7149.26,1.0
p[7598],0.87,0.02,0.84,0.9,0.0,0.0,12233.16,6995.32,1.0
p[7599],0.82,0.01,0.8,0.84,0.0,0.0,9501.3,7053.65,1.0
p[7600],0.78,0.01,0.76,0.8,0.0,0.0,9108.29,6828.8,1.0
p[7601],0.82,0.01,0.8,0.84,0.0,0.0,9501.8,7053.46,1.0
p[7602],0.78,0.01,0.76,0.81,0.0,0.0,9099.43,6828.89,1.0
p[7603],0.79,0.02,0.75,0.83,0.0,0.0,10367.84,7071.76,1.0
p[7604],0.82,0.01,0.8,0.84,0.0,0.0,9500.45,7080.25,1.0
p[7605],0.82,0.01,0.8,0.84,0.0,0.0,9499.65,7072.05,1.0
p[7606],0.82,0.01,0.8,0.84,0.0,0.0,9499.0,7039.74,1.0
p[7607],0.82,0.01,0.8,0.84,0.0,0.0,9497.36,7039.74,1.0
p[7608],0.63,0.02,0.59,0.68,0.0,0.0,9535.72,6760.91,1.0
p[7609],0.84,0.02,0.81,0.87,0.0,0.0,9616.49,6544.81,1.0
p[7610],0.82,0.01,0.8,0.84,0.0,0.0,9499.14,7007.0,1.0
p[7611],0.79,0.01,0.76,0.81,0.0,0.0,9066.1,6827.26,1.0
p[7612],0.82,0.01,0.8,0.84,0.0,0.0,9498.97,7039.42,1.0
p[7613],0.79,0.01,0.76,0.81,0.0,0.0,9062.47,6828.07,1.0
p[7614],0.82,0.01,0.8,0.84,0.0,0.0,9498.91,7122.02,1.0
p[7615],0.82,0.01,0.8,0.84,0.0,0.0,9497.27,7088.39,1.0
p[7616],0.82,0.01,0.8,0.84,0.0,0.0,9497.27,7088.39,1.0
p[7617],0.82,0.01,0.8,0.84,0.0,0.0,9497.5,7088.39,1.0
p[7618],0.82,0.01,0.8,0.84,0.0,0.0,9497.51,7088.08,1.0
p[7619],0.87,0.02,0.84,0.9,0.0,0.0,12231.81,7160.81,1.0
p[7620],0.79,0.01,0.77,0.81,0.0,0.0,9040.51,6676.85,1.0
p[7621],0.79,0.01,0.77,0.81,0.0,0.0,9034.6,6676.85,1.0
p[7622],0.92,0.02,0.88,0.95,0.0,0.0,10488.36,6280.31,1.0
p[7623],0.83,0.01,0.81,0.84,0.0,0.0,9495.88,6990.88,1.0
p[7624],0.79,0.01,0.77,0.81,0.0,0.0,9028.79,6676.24,1.0
p[7625],0.83,0.01,0.81,0.84,0.0,0.0,9253.3,7055.23,1.0
p[7626],0.79,0.01,0.77,0.81,0.0,0.0,9021.43,6705.36,1.0
p[7627],0.83,0.01,0.81,0.84,0.0,0.0,9246.88,6990.53,1.0
p[7628],0.79,0.01,0.77,0.81,0.0,0.0,9012.5,6677.42,1.0
p[7629],0.83,0.01,0.81,0.84,0.0,0.0,9244.98,6990.25,1.0
p[7630],0.64,0.02,0.6,0.68,0.0,0.0,9528.44,7021.96,1.0
p[7631],0.8,0.02,0.76,0.84,0.0,0.0,10367.09,6987.12,1.0
p[7632],0.79,0.01,0.77,0.81,0.0,0.0,9002.25,6647.14,1.0
p[7633],0.87,0.01,0.85,0.9,0.0,0.0,9315.07,6230.83,1.0
p[7634],0.83,0.01,0.81,0.84,0.0,0.0,9240.89,6771.54,1.0
p[7635],0.79,0.01,0.77,0.81,0.0,0.0,9000.4,6706.34,1.0
p[7636],0.83,0.01,0.81,0.85,0.0,0.0,9237.76,6770.82,1.0
p[7637],0.83,0.01,0.81,0.85,0.0,0.0,9237.76,6770.82,1.0
p[7638],0.79,0.01,0.77,0.82,0.0,0.0,8991.47,6705.48,1.0
p[7639],0.83,0.01,0.81,0.85,0.0,0.0,9233.11,6801.5,1.0
p[7640],0.83,0.01,0.81,0.85,0.0,0.0,9233.35,6801.84,1.0
p[7641],0.83,0.01,0.81,0.85,0.0,0.0,9233.31,6801.84,1.0
p[7642],0.83,0.01,0.81,0.85,0.0,0.0,9231.86,6771.31,1.0
p[7643],0.79,0.01,0.77,0.82,0.0,0.0,8988.15,6764.94,1.0
p[7644],0.8,0.01,0.77,0.82,0.0,0.0,8979.33,6704.86,1.0
p[7645],0.83,0.01,0.81,0.85,0.0,0.0,9225.1,6741.87,1.0
p[7646],0.8,0.01,0.77,0.82,0.0,0.0,8975.77,6674.61,1.0
p[7647],0.88,0.01,0.85,0.9,0.0,0.0,9322.63,6231.56,1.0
p[7648],0.83,0.01,0.81,0.85,0.0,0.0,9224.28,6741.87,1.0
p[7649],0.81,0.02,0.77,0.84,0.0,0.0,10366.56,7080.67,1.0
p[7650],0.8,0.01,0.78,0.82,0.0,0.0,8967.56,6676.0,1.0
p[7651],0.83,0.01,0.81,0.85,0.0,0.0,9220.66,6715.13,1.0
p[7652],0.8,0.01,0.78,0.82,0.0,0.0,8959.97,6764.86,1.0
p[7653],0.88,0.02,0.85,0.91,0.0,0.0,12236.02,7035.22,1.0
p[7654],0.65,0.02,0.61,0.69,0.0,0.0,9520.93,6974.45,1.0
p[7655],0.83,0.01,0.81,0.85,0.0,0.0,9217.04,6642.26,1.0
p[7656],0.85,0.02,0.82,0.88,0.0,0.0,9569.92,6469.17,1.0
p[7657],0.88,0.01,0.85,0.9,0.0,0.0,9325.84,6232.12,1.0
p[7658],0.83,0.01,0.82,0.85,0.0,0.0,9212.93,6596.49,1.0
p[7659],0.83,0.01,0.82,0.85,0.0,0.0,9213.03,6596.77,1.0
p[7660],0.8,0.01,0.78,0.82,0.0,0.0,8941.15,6858.14,1.0
p[7661],0.83,0.01,0.82,0.85,0.0,0.0,9212.3,6487.1,1.0
p[7662],0.8,0.01,0.78,0.82,0.0,0.0,8937.36,6858.17,1.0
p[7663],0.88,0.02,0.85,0.91,0.0,0.0,12228.65,6928.9,1.0
p[7664],0.83,0.01,0.82,0.85,0.0,0.0,9210.52,6459.12,1.0
p[7665],0.83,0.01,0.82,0.85,0.0,0.0,9210.23,6500.77,1.0
p[7666],0.84,0.01,0.82,0.85,0.0,0.0,9208.84,6500.77,1.0
p[7667],0.8,0.01,0.78,0.82,0.0,0.0,8930.7,6909.23,1.0
p[7668],0.8,0.01,0.78,0.82,0.0,0.0,8926.34,6912.69,1.0
p[7669],0.84,0.01,0.82,0.85,0.0,0.0,9204.02,6559.07,1.0
p[7670],0.92,0.02,0.89,0.95,0.0,0.0,10479.64,6131.34,1.0
p[7671],0.8,0.01,0.78,0.82,0.0,0.0,8919.43,6848.83,1.0
p[7672],0.84,0.01,0.82,0.85,0.0,0.0,9202.95,6616.29,1.0
p[7673],0.8,0.01,0.78,0.82,0.0,0.0,8917.75,6848.83,1.0
p[7674],0.81,0.02,0.78,0.85,0.0,0.0,10371.37,7100.1,1.0
p[7675],0.8,0.01,0.78,0.82,0.0,0.0,8911.27,6912.16,1.0
p[7676],0.84,0.01,0.82,0.85,0.0,0.0,9198.54,6517.34,1.0
p[7677],0.84,0.01,0.82,0.85,0.0,0.0,9197.77,6517.34,1.0
p[7678],0.8,0.01,0.78,0.82,0.0,0.0,8907.26,6834.2,1.0
p[7679],0.66,0.02,0.62,0.7,0.0,0.0,9502.29,6857.62,1.0
p[7680],0.84,0.01,0.82,0.85,0.0,0.0,9195.73,6490.17,1.0
p[7681],0.85,0.02,0.82,0.88,0.0,0.0,9594.36,6498.07,1.0
p[7682],0.84,0.01,0.82,0.85,0.0,0.0,9194.28,6588.07,1.0
p[7683],0.81,0.01,0.79,0.83,0.0,0.0,8897.48,6834.07,1.0
p[7684],0.88,0.01,0.86,0.91,0.0,0.0,9349.87,6206.35,1.0
p[7685],0.84,0.01,0.82,0.86,0.0,0.0,9188.69,6585.29,1.0
p[7686],0.81,0.01,0.79,0.83,0.0,0.0,8891.2,6863.34,1.0
p[7687],0.84,0.01,0.82,0.86,0.0,0.0,9187.09,6569.03,1.0
p[7688],0.79,0.02,0.75,0.82,0.0,0.0,8966.32,6757.03,1.0
p[7689],0.84,0.01,0.82,0.86,0.0,0.0,9185.63,6569.03,1.0
p[7690],0.79,0.02,0.75,0.82,0.0,0.0,8964.65,6757.03,1.0
p[7691],0.84,0.01,0.82,0.86,0.0,0.0,9184.48,6569.03,1.0
p[7692],0.84,0.01,0.83,0.86,0.0,0.0,9182.56,6485.28,1.0
p[7693],0.91,0.01,0.89,0.93,0.0,0.0,8879.61,7059.16,1.0
p[7694],0.81,0.01,0.79,0.83,0.0,0.0,8874.19,6866.8,1.0
p[7695],0.84,0.01,0.83,0.86,0.0,0.0,9183.27,6485.28,1.0
p[7696],0.84,0.01,0.83,0.86,0.0,0.0,9182.6,6513.25,1.0
p[7697],0.91,0.01,0.89,0.93,0.0,0.0,8880.33,7092.34,1.0
p[7698],0.81,0.01,0.79,0.83,0.0,0.0,8868.01,6850.39,1.0
p[7699],0.81,0.01,0.79,0.83,0.0,0.0,8863.7,6896.26,1.0
p[7700],0.82,0.02,0.78,0.85,0.0,0.0,10363.98,7066.77,1.0
p[7701],0.91,0.01,0.89,0.93,0.0,0.0,8878.3,7059.28,1.0
p[7702],0.84,0.01,0.83,0.86,0.0,0.0,9181.47,6457.7,1.0
p[7703],0.84,0.01,0.83,0.86,0.0,0.0,9181.47,6457.7,1.0
p[7704],0.88,0.01,0.86,0.91,0.0,0.0,9361.8,6081.64,1.0
p[7705],0.84,0.01,0.83,0.86,0.0,0.0,9180.73,6471.45,1.0
p[7706],0.89,0.01,0.86,0.91,0.0,0.0,12216.83,7063.66,1.0
p[7707],0.84,0.01,0.83,0.86,0.0,0.0,9178.39,6430.17,1.0
p[7708],0.84,0.01,0.83,0.86,0.0,0.0,9177.9,6430.17,1.0
p[7709],0.86,0.02,0.83,0.89,0.0,0.0,9611.3,6376.68,1.0
p[7710],0.81,0.01,0.79,0.83,0.0,0.0,8845.13,6770.98,1.0
p[7711],0.81,0.01,0.79,0.83,0.0,0.0,8843.31,6770.98,1.0
p[7712],0.67,0.02,0.63,0.71,0.0,0.0,9479.28,6722.95,1.0
p[7713],0.85,0.01,0.83,0.86,0.0,0.0,9175.8,6443.6,1.0
p[7714],0.81,0.01,0.79,0.83,0.0,0.0,8837.22,6800.16,1.0
p[7715],0.85,0.01,0.83,0.86,0.0,0.0,9175.14,6416.04,1.0
p[7716],0.85,0.01,0.83,0.86,0.0,0.0,9175.14,6416.04,1.0
p[7717],0.89,0.01,0.86,0.92,0.0,0.0,12208.81,7064.56,1.0
p[7718],0.85,0.01,0.83,0.86,0.0,0.0,9175.73,6415.96,1.0
p[7719],0.85,0.01,0.83,0.86,0.0,0.0,9174.78,6334.45,1.0
p[7720],0.85,0.01,0.83,0.86,0.0,0.0,9174.25,6307.85,1.0
p[7721],0.81,0.01,0.79,0.83,0.0,0.0,8831.43,6770.55,1.0
p[7722],0.85,0.01,0.83,0.86,0.0,0.0,9174.37,6308.25,1.0
p[7723],0.85,0.01,0.83,0.86,0.0,0.0,9173.78,6334.49,1.0
p[7724],0.93,0.01,0.9,0.95,0.0,0.0,10458.78,6061.01,1.0
p[7725],0.81,0.01,0.8,0.83,0.0,0.0,8824.47,6863.4,1.0
p[7726],0.89,0.01,0.87,0.91,0.0,0.0,9367.85,6009.69,1.0
p[7727],0.8,0.02,0.76,0.83,0.0,0.0,8963.28,6725.7,1.0
p[7728],0.85,0.01,0.83,0.86,0.0,0.0,9170.96,6205.04,1.0
p[7729],0.85,0.01,0.83,0.86,0.0,0.0,9170.3,6179.81,1.0
p[7730],0.83,0.02,0.79,0.86,0.0,0.0,10372.42,7140.54,1.0
p[7731],0.82,0.01,0.8,0.84,0.0,0.0,8818.92,6709.91,1.0
p[7732],0.85,0.01,0.83,0.86,0.0,0.0,9170.12,6308.39,1.0
p[7733],0.82,0.01,0.8,0.84,0.0,0.0,8810.28,6707.07,1.0
p[7734],0.85,0.01,0.83,0.86,0.0,0.0,9170.6,6308.39,1.0
p[7735],0.86,0.01,0.83,0.89,0.0,0.0,9655.84,6518.38,1.0
p[7736],0.89,0.01,0.87,0.91,0.0,0.0,9370.89,6033.82,1.0
p[7737],0.68,0.02,0.64,0.72,0.0,0.0,9469.45,6706.79,1.0
p[7738],0.82,0.01,0.8,0.84,0.0,0.0,8805.95,6592.13,1.0
p[7739],0.85,0.01,0.83,0.87,0.0,0.0,9170.97,6269.66,1.0
p[7740],0.85,0.01,0.84,0.87,0.0,0.0,9172.77,6269.66,1.0
p[7741],0.85,0.01,0.84,0.87,0.0,0.0,9172.76,6307.16,1.0
p[7742],0.92,0.01,0.9,0.93,0.0,0.0,8857.74,6866.1,1.0
p[7743],0.89,0.01,0.87,0.92,0.0,0.0,12195.5,6903.0,1.0
p[7744],0.85,0.01,0.84,0.87,0.0,0.0,9172.98,6332.96,1.0
p[7745],0.89,0.01,0.87,0.91,0.0,0.0,9380.59,5963.32,1.0
p[7746],0.89,0.02,0.86,0.91,0.0,0.0,11671.39,6488.21,1.0
p[7747],0.85,0.01,0.84,0.87,0.0,0.0,9173.46,6306.69,1.0
p[7748],0.82,0.01,0.8,0.84,0.0,0.0,8795.83,6494.36,1.0
p[7749],0.82,0.01,0.8,0.84,0.0,0.0,8793.83,6507.25,1.0
p[7750],0.82,0.01,0.8,0.84,0.0,0.0,8790.33,6506.48,1.0
p[7751],0.8,0.02,0.77,0.84,0.0,0.0,8954.93,6816.11,1.0
p[7752],0.92,0.01,0.9,0.93,0.0,0.0,8856.17,6805.14,1.0
p[7753],0.85,0.01,0.84,0.87,0.0,0.0,9172.45,6256.04,1.0
p[7754],0.85,0.01,0.84,0.87,0.0,0.0,9172.71,6256.04,1.0
p[7755],0.69,0.02,0.65,0.72,0.0,0.0,9464.46,6660.9,1.0
p[7756],0.85,0.01,0.84,0.87,0.0,0.0,9171.44,6103.4,1.0
p[7757],0.85,0.01,0.84,0.87,0.0,0.0,9171.17,6103.74,1.0
p[7758],0.83,0.02,0.8,0.86,0.0,0.0,10371.7,6907.58,1.0
p[7759],0.82,0.01,0.81,0.84,0.0,0.0,8782.05,6534.86,1.0
p[7760],0.85,0.01,0.84,0.87,0.0,0.0,9173.89,6030.74,1.0
p[7761],0.82,0.01,0.81,0.84,0.0,0.0,8782.21,6564.96,1.0
p[7762],0.86,0.01,0.84,0.87,0.0,0.0,9175.71,6079.07,1.0
p[7763],0.87,0.01,0.84,0.89,0.0,0.0,9717.3,6498.09,1.0
p[7764],0.86,0.01,0.84,0.87,0.0,0.0,9175.42,6127.38,1.0
p[7765],0.82,0.01,0.81,0.84,0.0,0.0,8781.34,6506.86,1.0
p[7766],0.86,0.01,0.84,0.87,0.0,0.0,9175.48,6127.38,1.0
p[7767],0.86,0.01,0.84,0.87,0.0,0.0,9175.05,6176.96,1.0
p[7768],0.86,0.01,0.84,0.87,0.0,0.0,9175.35,6177.05,1.0
p[7769],0.86,0.01,0.84,0.87,0.0,0.0,9176.24,6279.1,1.0
p[7770],0.86,0.01,0.84,0.87,0.0,0.0,9176.24,6279.1,1.0
p[7771],0.86,0.01,0.84,0.87,0.0,0.0,9177.25,6278.65,1.0
p[7772],0.81,0.02,0.78,0.84,0.0,0.0,8954.12,7036.74,1.0
p[7773],0.83,0.01,0.81,0.84,0.0,0.0,8776.6,6639.2,1.0
p[7774],0.86,0.01,0.84,0.87,0.0,0.0,9178.07,6278.65,1.0
p[7775],0.93,0.01,0.91,0.96,0.0,0.0,10441.57,6087.11,1.0
p[7776],0.83,0.01,0.81,0.84,0.0,0.0,8775.46,6727.71,1.0
p[7777],0.86,0.01,0.84,0.87,0.0,0.0,9178.44,6305.04,1.0
p[7778],0.84,0.02,0.8,0.87,0.0,0.0,10376.83,6771.55,1.0
p[7779],0.83,0.01,0.81,0.85,0.0,0.0,8775.92,6860.21,1.0
p[7780],0.86,0.01,0.84,0.87,0.0,0.0,9178.79,6356.78,1.0
p[7781],0.69,0.02,0.66,0.73,0.0,0.0,9463.96,6794.99,1.0
p[7782],0.87,0.01,0.84,0.9,0.0,0.0,9749.74,6553.59,1.0
p[7783],0.86,0.01,0.84,0.87,0.0,0.0,9179.08,6303.44,1.0
p[7784],0.9,0.01,0.87,0.92,0.0,0.0,12165.52,6945.76,1.0
p[7785],0.86,0.01,0.84,0.87,0.0,0.0,9179.08,6303.44,1.0
p[7786],0.83,0.01,0.81,0.85,0.0,0.0,8771.18,6727.24,1.0
p[7787],0.83,0.01,0.81,0.85,0.0,0.0,8770.73,6743.97,1.0
p[7788],0.86,0.01,0.85,0.87,0.0,0.0,9183.92,6303.22,1.0
p[7789],0.86,0.01,0.85,0.87,0.0,0.0,9187.02,6251.38,1.0
p[7790],0.83,0.01,0.81,0.85,0.0,0.0,8770.13,6640.4,1.0
p[7791],0.86,0.01,0.85,0.87,0.0,0.0,9188.14,6302.62,1.0
p[7792],0.86,0.01,0.85,0.87,0.0,0.0,9188.87,6302.62,1.0
p[7793],0.86,0.01,0.85,0.87,0.0,0.0,9188.9,6302.62,1.0
p[7794],0.92,0.01,0.91,0.94,0.0,0.0,8859.04,6769.69,1.0
p[7795],0.86,0.01,0.85,0.87,0.0,0.0,9189.91,6382.64,1.0
p[7796],0.83,0.01,0.81,0.85,0.0,0.0,8768.79,6818.68,1.0
p[7797],0.9,0.01,0.88,0.92,0.0,0.0,9416.41,6015.07,1.0
p[7798],0.83,0.01,0.81,0.85,0.0,0.0,8768.09,6880.38,1.0
p[7799],0.9,0.01,0.88,0.92,0.0,0.0,9414.56,6015.07,1.0
p[7800],0.86,0.01,0.85,0.88,0.0,0.0,9187.47,6383.68,1.0
p[7801],0.83,0.01,0.81,0.85,0.0,0.0,8767.97,6894.85,1.0
p[7802],0.84,0.02,0.81,0.87,0.0,0.0,10377.77,6793.98,1.0
p[7803],0.92,0.01,0.91,0.94,0.0,0.0,8856.89,6830.96,1.0
