weekday_cat,hour_3h_bin,train_cat,event_type,y,n,days_until_xmas_z_mean
5,06-08,HighSpeed,arrival_only,0,2,-1.2551673538535753
5,06-08,HighSpeed,both,0,46,-0.015942557287496894
5,06-08,HighSpeed,departure_only,0,32,-0.20585800128178458
5,06-08,Regional,arrival_only,7,85,-0.07006502624308227
5,06-08,Regional,both,0,40,0.48229371366064555
5,06-08,Regional,departure_only,10,123,-0.08701960041385065
5,06-08,S-Bahn,arrival_only,7,57,-0.14549381576051879
5,06-08,S-Bahn,both,0,1,1.087476782120655
5,06-08,S-Bahn,departure_only,10,60,-0.1489187340879665
5,09-11,HighSpeed,arrival_only,1,18,-0.04046298705212249
5,09-11,HighSpeed,both,7,76,-0.04274626593708763
5,09-11,HighSpeed,departure_only,0,14,-0.1953997685318996
5,09-11,Regional,arrival_only,14,133,-0.11026608439248524
5,09-11,Regional,both,1,62,0.38216456913916635
5,09-11,Regional,departure_only,12,135,-0.11565897166364099
5,09-11,S-Bahn,arrival_only,9,56,-0.16751114786553975
5,09-11,S-Bahn,both,0,1,0.3065954034625783
5,09-11,S-Bahn,departure_only,6,56,-0.16751114786553975
5,12-14,HighSpeed,arrival_only,0,13,-0.17394698340393047
5,12-14,HighSpeed,both,6,58,-0.097308757912289
5,12-14,HighSpeed,departure_only,0,18,-0.3007567799381481
5,12-14,Regional,arrival_only,12,140,-0.08942300999973207
5,12-14,Regional,both,1,56,0.36237264479529807
5,12-14,Regional,departure_only,12,141,-0.09769070038167421
5,12-14,S-Bahn,arrival_only,10,58,-0.12423570200394682
5,12-14,S-Bahn,departure_only,4,57,-0.14549381576051879
5,15-17,HighSpeed,arrival_only,0,21,-0.2511770098646194
5,15-17,HighSpeed,both,2,65,-0.017770707672315138
5,15-17,HighSpeed,departure_only,0,17,-0.24461498147253474
5,15-17,Regional,arrival_only,10,134,-0.1304650696669423
5,15-17,Regional,both,0,60,0.38468354132838595
5,15-17,Regional,departure_only,12,135,-0.11565897166364099
5,15-17,S-Bahn,arrival_only,4,57,-0.14549381576051879
5,15-17,S-Bahn,departure_only,4,58,-0.12423570200394682
5,18-20,HighSpeed,arrival_only,2,23,0.06893585343620709
5,18-20,HighSpeed,both,0,54,-0.19953141603802702
5,18-20,HighSpeed,departure_only,1,11,-0.3323075427122118
5,18-20,Regional,arrival_only,16,142,-0.10584194442020874
5,18-20,Regional,both,1,61,0.39620474199711164
5,18-20,Regional,departure_only,15,132,-0.07792951784632314
5,18-20,S-Bahn,arrival_only,6,59,-0.14340403508614394
5,18-20,S-Bahn,departure_only,8,57,-0.14549381576051879
5,21-23,HighSpeed,arrival_only,0,34,-0.12977948461105285
5,21-23,HighSpeed,both,0,36,-0.08384528586646009
5,21-23,Regional,arrival_only,17,118,-0.057374730657711724
5,21-23,Regional,both,0,27,0.4801245987199287
5,21-23,Regional,departure_only,14,105,-0.13962252719917986
5,21-23,S-Bahn,arrival_only,6,63,-0.11483264216241552
5,21-23,S-Bahn,both,0,1,0.3065954034625783
5,21-23,S-Bahn,departure_only,6,56,-0.12567821686599992
6,00-02,HighSpeed,arrival_only,1,8,0.0974307484648792
6,00-02,HighSpeed,both,1,13,-0.045230272636115613
6,00-02,Regional,arrival_only,10,60,-0.29951728568630986
6,00-02,Regional,both,0,10,0.7416578858577926
6,00-02,Regional,departure_only,6,46,-0.34818090783456684
6,00-02,S-Bahn,arrival_only,6,37,-0.20595221959484658
6,00-02,S-Bahn,both,0,1,0.9759222994552156
6,00-02,S-Bahn,departure_only,3,30,-0.1953997685318996
6,03-05,HighSpeed,both,0,10,-0.35157604426351496
6,03-05,HighSpeed,departure_only,0,9,-0.4990758602322628
6,03-05,Regional,arrival_only,4,15,-0.3776054235521175
6,03-05,Regional,both,0,7,0.864367816789776
6,03-05,Regional,departure_only,5,15,-0.2734879063977073
6,03-05,S-Bahn,arrival_only,4,31,-0.15761518569360555
6,03-05,S-Bahn,departure_only,3,30,-0.1953997685318996
6,06-08,HighSpeed,arrival_only,0,1,-1.3667218365190148
6,06-08,HighSpeed,both,4,44,-0.1421578563506671
6,06-08,HighSpeed,departure_only,1,30,-0.2734879063977073
6,06-08,Regional,arrival_only,4,49,-0.26711336453111073
6,06-08,Regional,both,1,18,0.71562850656919
6,06-08,Regional,departure_only,6,97,-0.2316262242428413
6,06-08,S-Bahn,arrival_only,5,48,-0.2442048546980294
6,06-08,S-Bahn,departure_only,5,55,-0.2166965334043926
6,09-11,HighSpeed,arrival_only,0,11,0.0530624883138521
6,09-11,HighSpeed,both,12,71,-0.20089893317033677
6,09-11,HighSpeed,departure_only,0,17,-0.12649847041501047
6,09-11,Regional,arrival_only,3,104,-0.2254336677110564
6,09-11,Regional,both,9,42,0.30659540346257835
6,09-11,Regional,departure_only,3,107,-0.264730358225841
6,09-11,S-Bahn,arrival_only,4,56,-0.2372326995314394
6,09-11,S-Bahn,departure_only,7,65,-0.24946078705438185
6,12-14,HighSpeed,arrival_only,1,11,-0.5148512416192946
6,12-14,HighSpeed,both,17,64,-0.15879595390730225
6,12-14,HighSpeed,departure_only,2,20,-0.35157604426351496
6,12-14,Regional,arrival_only,8,108,-0.260473216753406
6,12-14,Regional,both,8,42,0.30659540346257835
6,12-14,Regional,departure_only,9,114,-0.2638981350808537
6,12-14,S-Bahn,arrival_only,4,57,-0.25704829842595833
6,12-14,S-Bahn,departure_only,4,57,-0.25704829842595833
6,15-17,HighSpeed,arrival_only,2,18,-0.4123112626035876
6,15-17,HighSpeed,both,16,65,-0.12932519033775466
6,15-17,HighSpeed,departure_only,1,16,-0.341815027030289
6,15-17,Regional,arrival_only,9,109,-0.29211443469597337
6,15-17,Regional,both,7,41,0.29027035721885547
6,15-17,Regional,departure_only,9,106,-0.27643462858132267
6,15-17,S-Bahn,arrival_only,6,57,-0.25704829842595833
6,15-17,S-Bahn,departure_only,6,57,-0.25704829842595833
6,18-20,HighSpeed,arrival_only,1,22,-0.12441055229025624
6,18-20,HighSpeed,both,14,63,-0.22638712482785503
6,18-20,HighSpeed,departure_only,2,11,-0.3018835928943646
6,18-20,Regional,arrival_only,8,116,-0.26944886478395863
6,18-20,Regional,both,7,43,0.32216114522984896
6,18-20,Regional,departure_only,10,102,-0.2489896670672578
6,18-20,S-Bahn,arrival_only,6,59,-0.28142907296033176
6,18-20,S-Bahn,departure_only,4,57,-0.25704829842595833
6,21-23,HighSpeed,arrival_only,2,34,-0.1953997685318996
6,21-23,HighSpeed,both,6,38,-0.25704829842595833
6,21-23,Regional,arrival_only,14,112,-0.20237192369848958
6,21-23,Regional,both,0,18,0.71562850656919
6,21-23,Regional,departure_only,11,101,-0.23019151312557629
6,21-23,S-Bahn,arrival_only,4,60,-0.24745852710910474
6,21-23,S-Bahn,departure_only,3,55,-0.2166965334043926
